RULE_ID,RULE_NAME,SOURCE_TABLE,RULE_TYPE,IS_ACTIVE,SOURCE_COLUMN,RULE_SQL
VEV-001,CAR_ID_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,CAR_ID,CAR_ID IS NOT NULL
VEV-002,CAR_ID_POSITIVE,VEHICLE_EVENTS_RAW,RANGE,TRUE,CAR_ID,CAR_ID > 0
VEV-003,VIN_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,VIN,VIN IS NOT NULL
VEV-004,VIN_NOT_BLANK,VEHICLE_EVENTS_RAW,FORMAT,TRUE,VIN,TRIM(VIN) <> ''
VEV-005,MODEL_YEAR_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,MODEL_YEAR,MODEL_YEAR IS NOT NULL
VEV-006,MODEL_YEAR_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,MODEL_YEAR,MODEL_YEAR BETWEEN 1900 AND YEAR(CURRENT_DATE()) + 1
VEV-007,VEHICLE_CONFIG_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,VEHICLE_CONFIG,VEHICLE_CONFIG IS NOT NULL
VEV-008,DOORS_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,DOORS,DOORS IS NOT NULL AND DOORS > 0 AND DOORS = FLOOR(DOORS)
VEV-009,STATE_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,STATE,STATE IS NOT NULL
VEV-010,STATE_AB_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,STATE_AB,STATE_AB IS NOT NULL
VEV-011,CITY_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,CITY,CITY IS NOT NULL
VEV-012,COUNTRY_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,COUNTRY,COUNTRY IS NOT NULL
VEV-013,PART_NUMBER_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,PART_NUMBER,PART_NUMBER IS NOT NULL
VEV-014,BATTERY_SERIAL_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,BATTERY_SERIAL_NUMBER,BATTERY_SERIAL_NUMBER IS NOT NULL
VEV-015,ZIP_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,ZIP,ZIP IS NOT NULL
VEV-016,ZIP_FORMAT_VALID,VEHICLE_EVENTS_RAW,FORMAT,TRUE,ZIP,"REGEXP_LIKE(TRIM(ZIP), '^[0-9]+$')"
VEV-017,LONGITUDE_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,LONGITUDE,LONGITUDE BETWEEN -180 AND 180
VEV-018,LATITUDE_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,LATITUDE,LATITUDE BETWEEN -90 AND 90
VEV-019,DEST_LONGITUDE_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,DES_LONG,DES_LONG BETWEEN -180 AND 180
VEV-020,DEST_LATITUDE_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,DEST_LAT,DEST_LAT BETWEEN -90 AND 90
VEV-021,DISTANCE_NOT_NEGATIVE,VEHICLE_EVENTS_RAW,RANGE,TRUE,DIST_IN_M,DIST_IN_M >= 0
VEV-022,RECORD_COUNTS_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,RECORD_COUNTS,RECORD_COUNTS >= 0
VEV-023,DATE_VALUES_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,DATE_VALUES,DATE_VALUES IS NOT NULL
VEV-024,DATE_VALUES_VALID,VEHICLE_EVENTS_RAW,FORMAT,TRUE,DATE_VALUES,TRY_TO_DATE(DATE_VALUES) IS NOT NULL
VEV-025,AVG_TEMP_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,AVG_TEMP_F,AVG_TEMP_F BETWEEN -100 AND 150
VEV-026,AVG_WIND_SPEED_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,AVG_WIND_SPEED_MPH,AVG_WIND_SPEED_MPH >= 0
VEV-027,PRECIPITATION_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,TOT_PRECIPITATION_IN,TOT_PRECIPITATION_IN >= 0
VEV-028,SNOWFALL_VALID,VEHICLE_EVENTS_RAW,RANGE,TRUE,TOT_SNOWFALL_IN,TOT_SNOWFALL_IN >= 0
VEV-029,DTC_ERROR_CODE_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,DTC_ERROR_CODE,DTC_ERROR_CODE IS NOT NULL
VEV-030,DEST_LONGITUDE_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,DES_LONG,DES_LONG IS NOT NULL
VEV-031,DEST_LATITUDE_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,DEST_LAT,DEST_LAT IS NOT NULL
VEV-032,DISTANCE_NOT_NULL,VEHICLE_EVENTS_RAW,NOT_NULL,TRUE,DIST_IN_M,DIST_IN_M IS NOT NULL
BTC-001,BATTERY_TYPE_NOT_NULL,BATTERY_COMPONENTS_RAW,NOT_NULL,TRUE,BATTERY_TYPE,BATTERY_TYPE IS NOT NULL
BTC-002,BATTERY_TYPE_UNIQUE,BATTERY_COMPONENTS_RAW,UNIQUE,TRUE,BATTERY_TYPE,
BTC-003,BATTERY_TYPE_POSITIVE,BATTERY_COMPONENTS_RAW,RANGE,TRUE,BATTERY_TYPE,BATTERY_TYPE > 0
BTC-004,ANODE_NOT_NULL,BATTERY_COMPONENTS_RAW,NOT_NULL,TRUE,ANODE,ANODE IS NOT NULL AND TRIM(ANODE) <> ''
BTC-005,CATHODE_NOT_NULL,BATTERY_COMPONENTS_RAW,NOT_NULL,TRUE,CATHODE,CATHODE IS NOT NULL AND TRIM(CATHODE) <> ''
BTC-006,ELECTROLYTE_NOT_NULL,BATTERY_COMPONENTS_RAW,NOT_NULL,TRUE,ELECTROLYTE,ELECTROLYTE IS NOT NULL AND TRIM(ELECTROLYTE) <> ''
BTC-007,BATTERY_TYPE_REFERENCE,BATTERY_COMPONENTS_RAW,REFERENTIAL,TRUE,BATTERY_TYPE,"EXISTS (SELECT 1 FROM AUTOPULSE_AI.RAW.BATTERY_TYPE_RAW bt WHERE bt.ID = BATTERY_TYPE)"
DTC-001,ERROR_ID_NOT_NULL,DTC_BATTERY_ERROR_CODES_RAW,NOT_NULL,TRUE,ERROR_ID,ERROR_ID IS NOT NULL
DTC-002,ERROR_ID_UNIQUE,DTC_BATTERY_ERROR_CODES_RAW,UNIQUE,TRUE,ERROR_ID,
DTC-003,ERROR_ID_POSITIVE,DTC_BATTERY_ERROR_CODES_RAW,RANGE,TRUE,ERROR_ID,ERROR_ID > 0
DTC-004,ERROR_CODE_NOT_NULL,DTC_BATTERY_ERROR_CODES_RAW,NOT_NULL,TRUE,ERROR_CODE,ERROR_CODE IS NOT NULL
DTC-005,ERROR_CODE_UNIQUE,DTC_BATTERY_ERROR_CODES_RAW,UNIQUE,TRUE,ERROR_CODE,
DTC-006,ERROR_CODE_NOT_BLANK,DTC_BATTERY_ERROR_CODES_RAW,FORMAT,TRUE,ERROR_CODE,TRIM(ERROR_CODE) <> ''
DTC-007,DESCRIPTION_NOT_NULL,DTC_BATTERY_ERROR_CODES_RAW,NOT_NULL,TRUE,DESCRIPTION,DESCRIPTION IS NOT NULL
DTC-008,DESCRIPTION_NOT_BLANK,DTC_BATTERY_ERROR_CODES_RAW,FORMAT,TRUE,DESCRIPTION,TRIM(DESCRIPTION) <> ''
DTC-009,ERROR_CODE_FORMAT,DTC_BATTERY_ERROR_CODES_RAW,FORMAT,TRUE,ERROR_CODE,TRIM(ERROR_CODE) <> ''
SUP-001,SUPPLIER_ID_NOT_NULL,BATTERY_SUPPLIER_RAW,NOT_NULL,TRUE,ID,ID IS NOT NULL
SUP-002,SUPPLIER_ID_POSITIVE,BATTERY_SUPPLIER_RAW,RANGE,TRUE,ID,ID > 0
SUP-003,SUPPLIER_ID_UNIQUE,BATTERY_SUPPLIER_RAW,UNIQUE,TRUE,ID,
SUP-004,SUPPLIER_NAME_NOT_NULL,BATTERY_SUPPLIER_RAW,NOT_NULL,TRUE,NAME,NAME IS NOT NULL AND TRIM(NAME) <> ''
SUP-005,SUPPLIER_NAME_UNIQUE,BATTERY_SUPPLIER_RAW,UNIQUE,TRUE,NAME,
SUP-006,SUPPLIER_NAME_NOT_BLANK,BATTERY_SUPPLIER_RAW,FORMAT,TRUE,NAME,TRIM(NAME) <> ''
SUP-007,SUPPLIER_STATE_NOT_NULL,BATTERY_SUPPLIER_RAW,NOT_NULL,TRUE,STATE,STATE IS NOT NULL AND TRIM(STATE) <> ''
SUP-008,SUPPLIER_STATE_NOT_BLANK,BATTERY_SUPPLIER_RAW,FORMAT,TRUE,STATE,TRIM(STATE) <> ''
SUP-009,SUPPLIER_LATITUDE_RANGE,BATTERY_SUPPLIER_RAW,RANGE,TRUE,LATITUDE,LATITUDE BETWEEN -90 AND 90
SUP-010,SUPPLIER_LONGITUDE_RANGE,BATTERY_SUPPLIER_RAW,RANGE,TRUE,LONGITUDE,LONGITUDE BETWEEN -180 AND 180
BTP-001,BATTERY_TYPE_ID_NOT_NULL,BATTERY_TYPE_RAW,NOT_NULL,TRUE,ID,ID IS NOT NULL
BTP-002,BATTERY_TYPE_ID_UNIQUE,BATTERY_TYPE_RAW,UNIQUE,TRUE,ID,
BTP-003,BATTERY_TYPE_ID_POSITIVE,BATTERY_TYPE_RAW,RANGE,TRUE,ID,ID > 0
BTP-004,BATTERY_TYPE_NAME_NOT_NULL,BATTERY_TYPE_RAW,NOT_NULL,TRUE,NAME,NAME IS NOT NULL
BTP-005,BATTERY_TYPE_NAME_UNIQUE,BATTERY_TYPE_RAW,UNIQUE,TRUE,NAME,
BTP-006,BATTERY_TYPE_NAME_NOT_BLANK,BATTERY_TYPE_RAW,FORMAT,TRUE,NAME,TRIM(NAME) <> ''
BTP-007,BATTERY_TYPE_NAME_FORMAT,BATTERY_TYPE_RAW,FORMAT,TRUE,NAME,TRIM(NAME) <> ''
BTP-001,BATTERY_TYPE_ID_NOT_NULL,BATTERY_TYPE_RAW,NOT_NULL,TRUE,ID,ID IS NOT NULL
BTP-002,BATTERY_TYPE_ID_UNIQUE,BATTERY_TYPE_RAW,UNIQUE,TRUE,ID,
BTP-003,BATTERY_TYPE_ID_POSITIVE,BATTERY_TYPE_RAW,RANGE,TRUE,ID,ID > 0
BTP-004,BATTERY_TYPE_NAME_NOT_NULL,BATTERY_TYPE_RAW,NOT_NULL,TRUE,NAME,NAME IS NOT NULL
BTP-005,BATTERY_TYPE_NAME_UNIQUE,BATTERY_TYPE_RAW,UNIQUE,TRUE,NAME,
BTP-006,BATTERY_TYPE_NAME_NOT_BLANK,BATTERY_TYPE_RAW,FORMAT,TRUE,NAME,TRIM(NAME) <> ''
BTP-007,BATTERY_TYPE_NAME_FORMAT,BATTERY_TYPE_RAW,FORMAT,TRUE,NAME,TRIM(NAME) <> ''
DTE-001,RECORD_COUNT_NOT_NULL,DATE_VALUES_YEAR_RAW,NOT_NULL,TRUE,REC_COUNTS,REC_COUNTS IS NOT NULL
DTE-002,RECORD_COUNT_UNIQUE,DATE_VALUES_YEAR_RAW,UNIQUE,TRUE,REC_COUNTS,
DTE-003,RECORD_COUNT_POSITIVE,DATE_VALUES_YEAR_RAW,RANGE,TRUE,REC_COUNTS,REC_COUNTS > 0
DTE-004,DATE_VALUE_NOT_NULL,DATE_VALUES_YEAR_RAW,NOT_NULL,TRUE,DATE_VALUES,DATE_VALUES IS NOT NULL
DTE-005,DATE_VALUE_UNIQUE,DATE_VALUES_YEAR_RAW,UNIQUE,TRUE,DATE_VALUES,
DTE-006,DATE_VALUE_NOT_BLANK,DATE_VALUES_YEAR_RAW,FORMAT,TRUE,DATE_VALUES,TRIM(DATE_VALUES) <> ''
DTE-007,DATE_VALUE_FORMAT,DATE_VALUES_YEAR_RAW,FORMAT,TRUE,DATE_VALUES,TRIM(DATE_VALUES) <> ''
PBT-001,PART_ID_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,PART_ID,PART_ID IS NOT NULL
PBT-002,PART_ID_UNIQUE,PART_BATTERY_RAW,UNIQUE,TRUE,PART_ID,
PBT-003,PART_ID_POSITIVE,PART_BATTERY_RAW,RANGE,TRUE,PART_ID,PART_ID > 0
PBT-004,PART_NUMBER_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,PART_NUMBER,PART_NUMBER IS NOT NULL
PBT-005,PART_NUMBER_NOT_BLANK,PART_BATTERY_RAW,FORMAT,TRUE,PART_NUMBER,TRIM(PART_NUMBER) <> ''
PBT-006,BATTERY_TYPE_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,TYPE,TYPE IS NOT NULL
